"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"13700285","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>meesteri</i> <i>minor</i> <i>natalensis</i> <i>orangiae</i> <i>tulbaghensis</i> <i>warreni</i>","<i>orangiae</i> <i>warreni</i>","","","","<i>Suncus varilla </i>"
"13700286","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>zeylanicus</i> <i>murinus</i> <i>montanus</i>","","","","<i>Suncus zeylanicus </i>"
"13700287","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Crocidura</i> <i>morio</i>","","","","","","<i>Suncus</i> <i>S.</i> <i>megalura</i> <i>Sylvisorex</i> <i>Suncus</i>","","","",""
"13700288","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>granti</i> <i>a</i>","","","","<i>Sylvisorex camerunensis </i>"
"13700289","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>mundus</i>","<i>granti</i>","","","","<i>Sylvisorex granti </i>"
"13700290","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvisorex granti </i>"
"13700291","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvisorex granti </i>"
"13700292","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","<i>b</i>","","<i>usambarensis</i>","<i>usambarensis</i> <i>b</i>","","","","<i>Sylvisorex howelli </i>"
"13700293","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvisorex howelli </i>"
"13700294","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvisorex howelli </i>"
"13700295","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>morio</i>","","","","<i>Sylvisorex isabellae </i>"
"13700296","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>dieterleni</i>","<i>b</i>","","","","<i>Sylvisorex johnstoni </i>"
"13700297","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>S.</i> <i>ollula</i>","","","","","","<i>Sylvisorex konganensis </i>"
"13700298","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>ruandae</i>","<i>ruandae</i> <i>oriundus</i>","","","","<i>Sylvisorex lunaris </i>"
"13700299","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>isabellae</i> <i>isabellae</i>","","","","<i>Sylvisorex morio </i>"
"13700300","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvisorex ollula </i>"
"13700301","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>ollula</i>","","","","<i>Sylvisorex oriundus </i>"
"13700302","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S.</i> <i>konganensis</i>","","","","<i>Sylvisorex pluvialis </i>"
"13700303","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>S</i> <i>granti</i>","","","","<i>Sylvisorex vulcanorum </i>"
"13700304","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","<i>Myosorex</i> <i>b</i> <i>Myosorex</i> <i>Congosorex</i> <i>Surdisorex</i> <i>a</i> <i>b</i>","","","",""
"13700305","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Myosorex</i> <i>polli</i>","","","","","","<i>Myosorex</i> <i>a</i> <i>b</i> <i>Congosorex</i> <i>Myosorex</i> <i>b</i>","","","",""
"13700306","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Congosorex polli </i>"
"13700307","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Congosorex</i>","","","","<i>Congosorex verheyeni </i>"
"13700308","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Sorex</i> <i>varius</i>","","","","","","<i>Myosorex</i> <i>Surdisorex</i> <i>Congosorex</i> <i>b</i> <i>b</i> <i>a</i> <i>b</i> <i>Myosorex</i> <i>b</i> <i>Myosorex</i> <i>preussi</i> <i>Crocidura</i> <i>Sorex</i> <i>Sylvisorex</i>","","","",""
"13700309","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>blarina</i> <i>blarina</i>","","","","<i>Myosorex babaulti </i>"
"13700310","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>babaulti</i>","","","","<i>Myosorex blarina </i>"
"13700311","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>swinnyi</i>","<i>affinis</i> <i>sclateri</i> <i>swinnyi</i> <i>talpinus,</i> <i>tenuis</i> <i>cafer</i> <i>sclateri</i> <i>tenuis</i> <i>M.</i> <i>cafer</i>","","","","<i>Myosorex cafer </i>"
"13700312","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>okuensis</i> <i>rumpii</i> <i>eisentrauti</i> <i>a</i>","","","","<i>Myosorex eisentrauti </i>"
"13700313","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Crocidura</i>","","","","<i>Myosorex geata </i>"
"13700314","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Myosorex kihaulei </i>"
"13700315","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>boosmani</i>","","","","","<i>Myosorex longicaudatus </i>"
"13700316","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Myosorex longicaudatus </i>"
"13700317","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Myosorex longicaudatus </i>"
"13700318","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>eisentrauti</i>","","","","<i>Myosorex okuensis </i>"
"13700319","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>b</i> <i>b</i> <i>M</i> <i>eisentrauti</i> <i>rumpii</i> <i>Myosorex</i> <i>rumpii</i>","","","","<i>Myosorex rumpii </i>"
"13700320","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>b</i> <i>c</i>","","","","<i>Myosorex schalleri </i>"
"13700321","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>affinis</i> <i>talpinus</i>","<i>cafer</i> <i>sclateri</i> <i>cafer</i>","","","","<i>Myosorex sclateri </i>"
"13700322","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>cafer</i> <i>tenuis</i> <i>cafer</i>","","","","<i>Myosorex tenuis </i>"
"13700323","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>herpestes</i> <i>pondoensis</i> <i>transvaalensis</i>","<i>Myosorex</i>","","","","<i>Myosorex varius </i>"
"13700324","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>a</i> <i>M.</i> <i>eisentrauti</i>","","","","<i>Myosorex zinki </i>"
"13700325","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Surdisorex</i> <i>norae</i>","","","","","","<i>Myosorex</i> <i>b</i> <i>a</i> <i>b</i>","","","",""
"13700326","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Myosorex</i>","","","","<i>Surdisorex norae </i>"
"13700327","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Myosorex</i> <i>norae</i> <i>b</i>","","","","<i>Surdisorex polulus </i>"
"13700328","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","","","","",""
"13700329","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"13700330","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Anourosorex</i> <i>squamipes</i>","","","","","<i>Anaurosorex</i> <i>Anurosorex</i> <i>Pygmura</i>","","","","",""
"13700331","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>A.</i> <i>assamensis</i> <i>A.</i> <i>squamipes.</i> <i>A.</i> <i>assamensis</i> <i>A.</i> <i>squamipes</i>","","","","<i>Anourosorex assamensis </i>"
"13700332","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>A.</i> <i>squamipes</i> <i>a</i> <i>A.</i> <i>schmidi</i>","","","","<i>Anourosorex schmidi </i>"
"13700333","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>capito</i> <i>capnias</i>","<i>assamensis</i> <i>schmidi,</i> <i>yamashinai</i> <i>b</i>","","","","<i>Anourosorex squamipes </i>"
"13700334","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>A.</i> <i>squamipes</i> <i>b</i> <i>a</i> <i>A.</i> <i>yamashinai</i>","","","","<i>Anourosorex yamashinai </i>"
"13700335","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"13700336","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Sorex</i> <i>quadraticauda</i>","","","","","","<i>Alloblarinella</i> <i>a</i>","","","",""
"13700337","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>quadraticauda</i> <i>b</i>","","","","<i>Blarinella griselda </i>"
"13700338","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarinella quadraticauda </i>"
"13700339","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>quadraticauda</i> <i>a</i> <i>c</i> <i>b</i>","","","","<i>Blarinella wardi </i>"
"13700340","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"13700341","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Corsira</i> <i>Blarina</i> <i>talpoides</i> <i>Sorex</i> <i>talpoides</i> <i>Sorex</i> <i>brevicaudus</i>","","","","","<i>Anotus</i> <i>Blaria</i> <i>Brachysorex</i> <i>Mamblarinaus</i> <i>Talposorex</i>","","","","",""
"13700342","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>angusticeps</i> <i>costaricensis</i> <i>dekayi</i> <i>fossilis</i> <i>micrurus</i> <i>ozarkensis</i> <i>simplicidens</i> <i>aloga</i> <i>angusta</i> <i>churchi</i> <i>compacta</i> <i> </i> <i>hooperi</i> <i>kirtlandi</i> <i>manitobensis</i> <i>pallida</i> <i>talpoides</i> <i>telmalestes</i>","<i>telmalestes</i>","","","","<i>Blarina brevicauda </i>"
"13700343","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700344","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700345","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700346","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700347","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700348","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700349","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700350","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700351","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700352","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700353","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina brevicauda </i>"
"13700354","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>minima</i> <i>shermani</i>","<i>carolinensis</i> <i>brevicauda</i>","","","","<i>Blarina carolinensis </i>"
"13700355","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina carolinensis </i>"
"13700356","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina carolinensis </i>"
"13700357","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina carolinensis </i>"
"13700358","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>hulophaga</i> <i>plumbea</i>","<i>hulophaga</i> <i>hylophaga</i> <i>carolinensis</i>","","","","<i>Blarina hylophaga </i>"
"13700359","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","<i>hulophaga</i> <i>hylophaga</i>","","","","<i>Blarina hylophaga </i>"
"13700360","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Blarina hylophaga </i>"
"13700361","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>brevicauda</i> <i>carolinensis</i> <i>carolinensis</i> <i>peninsulae</i>","","","","<i>Blarina peninsulae </i>"
"13700362","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Sorex</i> <i>cinereus</i> <i>Sorex</i> <i>parvus</i>","","","","","<i>Soriciscus</i> <i>Xenosorex</i>","<i>C</i> <i>surinamensis</i> <i>Sorex</i> <i>araneus</i> <i>Cryptotis</i>","","","",""
"13700363","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>euryrhynchis</i>","<i>C.</i> <i>mexicanus</i> <i>goldmani</i> <i>goldmani</i>","","","","<i>Cryptotis alticola </i>"
"13700364","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C. nigrescens</i> <i>C. colombiana</i>","","","","<i>Cryptotis brachyonyx </i>"
"13700365","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>nigrescens</i> <i>C.</i> <i>colombiana</i> <i>C. brachyonyx</i>","","","","<i>Cryptotis colombiana </i>"
"13700366","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis endersi </i>"
"13700367","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>osgoodi</i>","<i>C.</i> <i>thomasi</i> <i>osgoodi</i>","","","","<i>Cryptotis equatoris </i>"
"13700368","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>guerrerensis</i> <i>machetes</i> <i> fossor</i> <i>frontalis</i>","<i>C.</i> <i>mexicana</i> <i>goldmani</i> <i>alticola</i> <i>goldmani</i>","","","","<i>Cryptotis goldmani </i>"
"13700369","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis goldmani </i>"
"13700370","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis goldmani </i>"
"13700371","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>magnimana</i>","<i>C.</i> <i>mexicana</i> <i>goldmani</i> <i>magnimana</i> <i>goodwini</i>","","","","<i>Cryptotis goodwini </i>"
"13700372","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>jacksoni</i>","<i>gracilis</i> <i>C. hondurensis</i>","","","","<i>Cryptotis gracilis </i>"
"13700373","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>mexicana</i> <i>goldmani</i> <i>goldmani</i>","","","","<i>Cryptotis griseoventris </i>"
"13700374","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>nigrescens</i> <i>gracilis</i>","","","","<i>Cryptotis hondurensis </i>"
"13700375","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis magna </i>"
"13700376","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>nigrescens</i>","","","","<i>Cryptotis mayensis </i>"
"13700377","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i>","","","","<i>Cryptotis medellinia </i>"
"13700378","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>merus</i>","<i>C.</i> <i>nigrescens</i>","","","","<i>Cryptotis mera </i>"
"13700379","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i> <i>thomasi</i> <i>d</i> <i>meridensis</i> <i>meridensis</i> <i>C. tamensis</i>","","","","<i>Cryptotis meridensis </i>"
"13700380","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>nigrescens</i> <i>nigrescens</i> <i>nigrescens</i>","","","","<i>Cryptotis merriami </i>"
"13700381","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>mexicana</i> <i>mexicana</i> <i>nelsoni</i> <i>obscura</i> <i>peregrina</i>","","","","<i>Cryptotis mexicana </i>"
"13700382","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i> <i>montivagus</i>","","","","<i>Cryptotis montivaga </i>"
"13700383","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>mexicana</i> <i>mexicana</i>","","","","<i>Cryptotis nelsoni </i>"
"13700384","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>tersus</i> <i>zeteki</i>","<i>C.</i> <i>nigrescens</i> <i>mayensis</i> <i>merriami</i> <i>nigrescens</i>","","","","<i>Cryptotis nigrescens </i>"
"13700385","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>madrea</i>","<i>C.</i> <i>mexicana</i> <i>mexicana</i>","","","","<i>Cryptotis obscura </i>"
"13700386","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>olivaceus</i>","<i>C.</i> <i>parva</i> <i>parva</i>","","","","<i>Cryptotis orophila </i>"
"13700387","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>cinereus</i> <i>elasson</i> <i>exilipes</i> <i>eximius</i> <i>harlani</i> <i>parvus</i> <i>berlandieri</i> <i>macer</i> <i>nayaritensis</i> <i>pergracilis</i> <i>floridana</i> <i>pueblensis</i> <i>celatus</i> <i>soricina</i>","<i>orophila</i>","","","","<i>Cryptotis parva </i>"
"13700388","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Cryptotis parva </i>"
"13700389","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis parva </i>"
"13700390","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis parva </i>"
"13700391","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis parva </i>"
"13700392","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cryptotis parva </i>"
"13700393","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>mexicana</i> <i>goldmani</i> <i>mexicana</i>","","","","<i>Cryptotis peregrina </i>"
"13700394","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i> <i>peruviensis</i> <i>Cryptotis</i>","","","","<i>Cryptotis peruviensis </i>"
"13700395","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C. mexicana</i> <i>Notiosorex</i> <i>Xenosorex</i> <i>phillipsii</i> <i>Cryptotis</i> <i>mexicana</i>","","","","<i>Cryptotis phillipsii </i>"
"13700396","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i>","","","","<i>Cryptotis squamipes </i>"
"13700397","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>C.</i> <i>thomasi</i> <i>meridensis</i> <i>thomasi</i>","","","","<i>Cryptotis tamensis </i>"
"13700398","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>avia</i> <i>C. thomasi </i> <i>C. avia</i>","<i>avia</i>","","","","<i>Cryptotis thomasi </i>"
"13700399","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>tropicalis</i> <i>nomen nudum</i> <i>micrurus</i>","<i>C.</i> <i>parva</i> <i>parva</i> <i>C. orophila</i>","","","","<i>Cryptotis tropicalis </i>"
"13700400","","","","","","","","","","","","TRIBE","","","","","","","","","","","","","","","","","","","","","",""
"13700401","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Crossopus</i> <i>himalayicus</i>","","","","","<i>Chimmarogale</i> <i>Crossogale</i>","<i>Chimarrogale</i> <i>Chimarrogale</i> <i>Neomys</i> <i>Crossogale</i> <i>a</i>","","","",""
"13700402","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>himalayica</i>","","","","<i>Chimarrogale hantu </i>"
"13700403","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>himalayicus</i> <i>leander</i> <i>varennei</i>","<i>c</i> <i>leander</i> <i>platycephala</i> <i>varennei</i> <i>hantu</i> <i>himalayica</i> <i>leander</i> <i>hantu</i> <i>platycephala</i> <i>varennei</i>","","","","<i>Chimarrogale himalayica </i>"
"13700404","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>phaeura</i> <i>himalayica</i> <i>c</i> <i>styani</i> <i>phaeura</i> <i>sumatrana</i> <i>a</i>","","","","<i>Chimarrogale phaeura </i>"
"13700405","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>himalayica</i> <i>platycephala</i> <i>a</i> <i>platycephalus</i>","","","","<i>Chimarrogale platycephalus </i>"
"13700406","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>c</i> <i>himalayica</i>","","","","<i>Chimarrogale styani </i>"
"13700407","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>phaeura</i>","","","","<i>Chimarrogale sumatrana </i>"
"13700408","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Soriculus</i> <i>salenskii</i>","","","","","","<i>Soriculus</i> <i>b</i> <i>b</i> <i>b</i> <i>Chodsigoa</i> <i>Episoriculus</i>","","","",""
"13700409","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>parca</i> <i>parva</i> <i>b</i>","","","","<i>Chodsigoa caovansunga </i>"
"13700410","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","<i>larvarum</i>","<i>Soriculus hypsibius</i>","<i>beresowskii</i> <i>larvarum</i>","<i>parva</i> <i>lamula</i> <i>b</i>","","","","<i>Chodsigoa hypsibia </i>"
"13700411","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus lamula.</i>","","<i>parva</i> <i>C.</i> <i>lamula</i> <i>b</i> <i>parva</i> <i>hypsibia</i> <i>b</i>","","","","<i>Chodsigoa lamula </i>"
"13700412","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus parca.</i>","<i>furva</i> <i>lowei</i>","<i>smithii</i> <i>b</i> <i>lowei</i> <i>furva</i>","","","","<i>Chodsigoa parca </i>"
"13700413","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chodsigoa parca </i>"
"13700414","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chodsigoa parca </i>"
"13700415","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Chodsigoa parca </i>"
"13700416","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>b</i> <i>C.</i> <i>parva</i> <i>C.</i> <i>lamula</i> <i>b</i> <i>C.</i> <i>parva</i> <i>C.</i> <i>lamula</i>","","","","<i>Chodsigoa parva </i>"
"13700417","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus salenskii</i>","","<i>C. smithii</i>","","","","<i>Chodsigoa salenskii </i>"
"13700418","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus smithii.</i>","","<i>salenskii</i> <i>c</i> <i>parca</i> <i>furva</i> <i>b</i>","","","","<i>Chodsigoa smithii </i>"
"13700419","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>Episoriculus</i> <i>fumidus</i> <i>b</i> <i>C.</i> <i>sodalis</i> <i>Chodsigoa</i> <i>sodalis</i> <i>Episoriculus</i> <i>fumidus</i>","","","","<i>Chodsigoa sodalis </i>"
"13700420","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Sorex</i> <i>caudatus</i>","","","","","","<i>Soriculus</i> <i>b</i> <i>b</i> <i>Soriculus</i> <i>Episoriculus</i> <i>Chodsigoa</i> <i>Episoriculus</i> <i>Asoriculus</i>","","","",""
"13700421","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus caudatus</i>","<i>gracilicauda</i> <i>homourus</i> <i>nomen nudum</i> <i>sacratus</i> <i>soluensis</i> <i>umbrinus</i>","<i>sacratus</i> <i>umbrinus</i> <i>b</i>","","","","<i>Episoriculus caudatus </i>"
"13700422","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Episoriculus caudatus </i>"
"13700423","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Episoriculus caudatus </i>"
"13700424","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Episoriculus caudatus </i>"
"13700425","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus fumidus</i>","","<i>caudatus</i> <i>b</i> <i>sodalis</i> <i>Chodsigoa</i> <i>fumidus</i> <i>Episoriculus</i> <i>fumidus</i> <i>Chodsigoa</i> <i>sodalis</i> <i>Soriculus</i> <i>fumidus</i>","","","","<i>Episoriculus fumidus </i>"
"13700426","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus leucops</i>","<i>baileyi</i> <i>gruberi</i>","<i>baileyi</i> <i>b</i>","","","","<i>Episoriculus leucops </i>"
"13700427","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Episoriculus leucops </i>"
"13700428","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Episoriculus leucops </i>"
"13700429","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Soriculus macrurus</i>","<i>irene</i>","<i>leucops</i> <i>b</i>","","","","<i>Episoriculus macrurus </i>"
"13700430","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Nectogale</i> <i>elegans</i>","","","","","","<i>Nectogale</i>","","","",""
"13700431","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>sikhimensis</i>","<i>sikhimensis</i> <i>b</i>","","","","<i>Nectogale elegans </i>"
"13700432","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Sorex</i> <i>daubentonii</i> <i>Sorex</i> <i>fodiens</i>","","","","","<i>Amphisorex</i> <i>Crossopus</i> <i>Hydrogale</i> <i>Hydrosorex</i> <i>Leucorrhynchus</i> <i>Myosictis</i> <i>Pinalia</i>","<i>a</i>","","","",""
